Etapas de desarrollo de la planta,Stages of plant development,5,5
Salinidad,salinity,5,5
extinguido,extinct,5,5
interacción genoma-medio ambiente,genome-environment interaction,5,5
Suelo ácido,I am used ácido,1,0
erosión genética,genetic erosion,5,5
filogenéticos,filogenéCosta Rican,0,0
Degradación ambiental,environmental degradation,5,5
Alelos,allele,5,5
cormofito,cormophyte,5,5
Angiospermas,Angiospermaes,5,5
Geografía,geography,5,5
institución gubernamental,government institution,5,5
Genomas,Genomes,5,5
propiedades de la región,region property,5,4
estación experimental,estación experimental,2,1
alimento para animales,food for animals,5,5
transecto en tiras,strip transect,5,5
Ecología,Ecology,5,5
Necesidades de luz,Light requirements,5,5
región terrestre,land region,5,5
adaptación de la planta,plant adaptation,5,5
suelo arenoso arcilloso,sandy clay,5,5
Planificación,Planificación,5,5
Evolución,manoeuvre,5,5
Hibridación intraespecífica,Hibridación intraespecífica,0,0
zona boreal,boreal,4,3
Sistemas de apareamiento,breeding system,5,5
instalación de investigación,instalación of investigación,2,0
ecosistema terrestre,terrestrial ecosystem,5,5
protección,protección,5,5
perfume,perfume,5,5
referencia,reference,5,5
amenaza a la cosecha,it threatens to the crop,3,2
región terrestre,región terrestrial,2,3
equipamiento,furnishing,5,5
investigación-exploración,investigación-exploración,1,0
suelo arenoso franco fino,I am used sandy clear fine,1,0
Geofísica,geophysics,5,5
región administrativa,administrative region,5,5
hábitat de pradera ,grassland habitat,5,5
Colecciones de material genético,Collections of material genéCosta Rican,0,0
nutriente vegetal,vegetable nutrient,5,5
hábitat de herbazal,grassland habitat,5,5
hábitat de caverna,cave habitat,5,5
Producción primaria,Primary Production,5,5
elemento terrestre,land element,5,5
transecto de punto,Point transect,5,5
compañía de semillas,compañíto of seeds,1,1
colector,commutator,0,0
vegetación introducida,introduced vegetation,5,5
helófita,helófita,0,0
Plantas,plant,5,4
pendiente pronunciada,upper slope,5,5
Tejido vascular,fibro-vascular tissue,5,5
Suelo mineral,Mineral soil,5,5
zona ártica,arctic zone,5,5
Agua,water,5,5
aposporía,apospory,5,5
Yema (planta),Yolk (plant),5,5
hábitat ribereño,hábitat ribereñor,0,0
clasificación del grado de amenaza del taxon,taxon endangerment classification,5,5
arena muy fina,very fine sand,5,5
poseedor de germoplasma,possessor of germoplasma,3,4
Germinación,floor malting,5,5
descomponedor ,decomposer,5,5
documento sobre legislación,Legislation document,5,5
hábitat arbustivo,hábitat bushy,3,4
flor femenina,feminine flower,5,5
herbario,herbarium,5,5
circulación,traffic,5,5
lista roja,Red List,5,5
Zona subtropical,subtropical zone,5,5
plantel principal,main campus,1,0
orden ,order,5,5
servicio,operating conditions,5,1
longitud decimal,length decimal,2,0
Ordenación forestal,Forest management,5,5
circulación,scalar line integral,5,0
clasificación de la amenaza,threat classification,5,5
Ritmos biológicos,Rhythms biológicos,2,2
clasificación de la amenaza,clasificación of the threat,4,5
degradación del hábitat,degradación of the hábitat,3,3
Utilización de la tierra,land use,5,5
subdivisión de país,subdivisión of país,0,0
reino ecológico,kingdom ecológico,3,2
Morfología vegetal,Plant morphology,5,5
colección crioconservada ,colección crioconservada,0,0
requisitos de  floración,flowering requirement,5,5
región terrestre,terrestrial region,5,5
descomponedor ,decomposer,5,5
Habitat,habitat,5,5
nombre común del taxón,common name of the taxon,5,5
maleza,weed,5,5
sustancia peligrosa ,hazardous substance,5,5
Procesos,Processes,5,5
Análisis de imágenes,image analysis,5,5
sustancia orgánica,organic compound,5,5
neofita,neofita,5,5
autoecología,autoecologíto,0,0
Propiedad,Property,5,5
autoecología,autoecology,5,5
Criopreservación,cryopreservation,5,5
pico montañoso,peak montañbear,2,0
rango taxonómico,taxonomic rank,5,5
Híbridos,hybrid,5,4
Política ambiental,environmental policy,5,5
población sintética,synthetic population,5,5
Horticultura,Horticulture,5,5
Conservación de la naturaleza,Conservación of the nature,4,4
cantidad,quantity,5,5
Terrazas,terrace,5,5
categoría de plantas,plant category,5,5
fecha de adquisición,acquisition date,5,5
andromonoico,andromonoecious,5,5
depósito,water tank,5,5
plantel fundador ,founder stock,0,0
historia genealógica,pedigree,5,4
empresa semillera,seed company,5,5
auto-exogamia,self-exogamy,5,5
referencia taxonómica,reference taxonómica,5,5
origen vegetal,vegetable origin,5,5
región superficial,región superficial,1,0
institución autónoma,institución autónoma,1,0
epilítico,epilithic,5,5
herbario de referencia,reference herbarium,5,5
referencia de derecho,reference of right,4,5
Control ambiental,environmental monitoring,5,5
Recursos genéticos,Resources genéCosta Rican,1,1
producto tejido,weaving product,5,5
ademán,ademán,0,0
Tierras rehabilitadas,Land rehabilitated,2,4
transecto en tiras,strip transect,1,1
Usos tradicionales,Traditional uses,5,5
Criterios de selección,Selection criteria,5,5
localidad,locality,5,5
estructura de  planta vascular,structure of vascular plant,4,5
recurso,protest,5,0
hábitat general,hábitat general,1,0
conservación in situ,conservación in situ,1,0
Latitud,latitude,5,5
información de la herencia,Heritage Information,5,5
fecha de adquisición,date of adquisición,3,5
apomixis gametofítica,gametophytic apomixis,5,5
líquen,lichen,5,5
Elementos químicos,chemical element,5,4
fecha de adquisición,acquisition date,5,5
Ácidos nucléicos,Nucleic Acids,5,5
propágulo,propagule,5,5
ejemplar,specimen,5,5
plantación de árboles,tree cropping,5,5
dique longitudinal; dique lateral; dique aluvial; caballón,dam longitudinal; lateral dike; dam alluvial ridge,2,2
Anatomía de la planta,Anatomíto of the plant,1,0
Transgénicos,Transgénicos,0,0
bioma,biome,5,5
actividad basada en política,policy-based action,5,5
población,población,1,0
Economía de la producción,Economíto of the producción,1,0
Desarrollo económico y social,Development económonkey and social,1,2
alimento,food,5,5
monoico,monoecious,5,5
política,policy,5,5
Transporte,Transport,5,5
registro genealógico,studbook,5,3
Economía,economics,5,5
Organismos del suelo,Soil organisms,5,5
Infraestructura,Infrastructure,5,5
establo,lairage,5,5
Almacenamiento,Storage,5,5
Ciencias de la tierra,earth science,5,5
región,región,4,5
circulación de aguas de superficie,movement of surface water,5,5
establo,lairage,5,5
latitud decimal,latitude decimal,3,4
Índice de superficie foliar,Index of foliar surface,4,5
área no protegida,ádefendant done not protect,1,0
sustancia química mixta,mixed chemical substance,5,5
diferenciación sexual,sexual differentiation,5,5
sitio protegido,protected site,5,5
célula diploide,diploid cell,5,5
Esporofitas,Esporofitas,2,0
Métodos de cultivo,cultural method,5,0
rango estadístico,rank estadístico,2,3
triángulo equilátero,equilateral triangle,5,5
coseno,cosine,5,5
datos,data,5,5
Cuadrado,Squared,5,5
datos,data,5,5
polígono regular,regular polygon,5,5
polígono de frecuencias,frequency polygon,5,5
medida de la dispersión,measurement of the dispersion,4,5
centro de un círculo,centre of a circle,4,5
rango estadístico,statistical range,5,5
centro de un círculo,centre of a circle,4,5
representatividad,representativity,5,5
rango estadístico,statistical rank,5,5
adición,addition,5,5
ecuación de primer grado,simple equation,5,5
análisis estadístico,Statistical analysis,5,5
ecuación de primer grado,simple equation,5,5
adición,adición,4,4
triángulo rectángulo,triangle,5,4
raíz anónima,anonymous root,5,5
Proyecto,Project,5,5
nombre,name,5,5
licencia,license,5,5
tester,to tester,4,2
descripción,descripción,5,5
Repositorio Subversion,Subversion Repository,5,5
colaborador,collaborating,5,3
nombre,name,5,5
colaborador,collaborator,5,5
Repositorio BitKeeper,BitKeeper repository,5,5
Repositorio BitKeeper,Repositorio BitKeeper,3,4
creado,created,5,5
página web antigua,old page Web,5,5
navegar,sailing,5,5
navegar,surf,5,5
tester,tester,5,5
capturas de pantalla,screenshots,5,5
desarrollador,let-off motion,0,0
desarrollador principal,main developer,5,5
