reversal of impairment loss recognised in other comprehensive income , recipes , formulae , models , designs and prototypes ||| desegregation of losses for deterioration of value recognised in another result integral , recipes , formulae , designs and models , prototypes ||| 3 ||| 3.5
changes in inventories of finished goods and work in progress ||| changes in inventories of finished products and process ||| 5 ||| 5
increase -lrb- decrease -rrb- through transfers and other changes , other reserves ||| increase -lrb- reduction -rrb- for transfers and other changes , other provisions ||| 3 ||| 4
gains -lrb- losses -rrb- on fair value adjustment , biological assets , at fair value ||| profits -lrb- losses -rrb- for adjustment of fair value , the value reasonable ||| 3 ||| 3
mastheads and publishing titles ||| headwaters of newspapers and magazines and titles publications ||| 2 ||| 3
explanation of portion of consideration consisting of cash and cash equivalents ||| explanation of the slice of the contraprestaciones consistent in effective and equivalent to effective ||| 2 ||| 3
deemed cost of investments for which deemed cost is previous gaap carrying amount ||| cost attributed investment for which the cost is attributed its amount in books according to gaaps previous ||| 3 ||| 3
aggregated individually immaterial business combinations ||| sum of combinations of business individually non-significant ||| 3 ||| 3
land and buildings , expenditures recognised for constructions ||| land and constructions , disbursements recognised by constructions ||| 3 ||| 3.5
investment accounted for using equity method ||| investment accounted for using the method of participation ; ||| 5 ||| 4
vehicles , temporarily idle ||| vehicles , ociosos temporarily ||| 3 ||| 3
explanation why fair value cannot be reliably measured for investment property , at cost within fair value model ||| explanation of why the value reasonable cannot be measured with reliability for properties of investment , the cost within the model of value reasonable ||| 3 ||| 3.5
explanation of independent valuer used for revaluation , construction in progress ||| explanation of the tasadores independent used for revaluaciones , constructions ongoing ||| 3 ||| 2
acquisitions through business combinations , intangible exploration and evaluation assets ||| acquisitions made through combinations of business , intangible assets for exploration and evaluation ||| 4 ||| 4
acquisitions through business combinations , defined benefit obligation from wholly unfunded plans ||| acquisitions made through combinations of business , obligations by benefits defined , from plans completely without financing ||| 4 ||| 3.5
impairment loss recognised in profit or loss , other intangible assets ||| losses for deterioration of value recognised in the outcome of the period , other intangible assets ||| 3.5 ||| 3.5
increase -lrb- decrease -rrb- through transfers and other changes , treasury shares ||| increase -lrb- reduction -rrb- for transfers and other changes , actions own portfolio in ||| 3 ||| 3
gains -lrb- losses -rrb- on fair value adjustment ||| profits -lrb- losses -rrb- for adjustment of value reasonable ||| 3 ||| 3.5
impairment loss recognised in other comprehensive income , copyrights , patents and other industrial property rights , service and operating rights , not internally generated ||| losses for deterioration of value recognised in another result integral , rights of intellectual property , patents and other rights of industrial property , service and rights of exploitation , not generated internally ||| 3.5 ||| 3.5
weighted average shares and adjusted weighted average shares ||| average well-balanced actions and average well-balanced actions tight ||| 3 ||| 4
intangible exploration and evaluation assets , temporarily idle ||| intangible assets for exploration and assessment , ociosos temporarily ||| 4 ||| 4
classes of cash receipts from operating activities ||| classes of recoveries by activities of operation ||| 2.5 ||| 4
increase -lrb- decrease -rrb- through net exchange differences , recipes , formulae , models , designs and prototypes ||| increase -lrb- reduction -rrb- by differences of change net , recipes , formulae , designs and models , prototypes ||| 3.5 ||| 3
translation reserves of exchange differences ||| reserves conversion of differences of changes ||| 2.5 ||| 3.5
increase -lrb- decrease -rrb- through time value of money adjustment , restructuring provision ||| increase -lrb- reduction -rrb- for the adjustment of the value of money , temporary provisions for restructuring ||| 2 ||| 4
disposals , exploration and evaluation assets ||| provisions , assets for exploration and evaluation ||| 5 ||| 5
recipes , formulae , models , designs and prototypes , not internally generated ||| recipes , formulae , designs and models , prototypes , not generated internally ||| 3.5 ||| 4.5
fair value of acquired receivables ||| fair value of the accounts by charge acquired ||| 2 ||| 5
amortisation , mastheads and publishing titles ||| depreciation , headwaters of newspapers and magazines and titles publications ||| 3 ||| 4
decrease through classified as held for sale , intangible exploration and evaluation assets , not internally generated ||| reductions by classify as cared for sale , intangible assets for exploration and assessment , not generated internally ||| 3 ||| 3.5
reversal of impairment loss recognised in other comprehensive income , other intangible assets , internally generated ||| desegregation of losses for deterioration of value recognised in another result integral , other intangible assets generated internally , ||| 3 ||| 3.5
classes of inventories ||| classes of inventories ||| 5 ||| 5
description of nature of differences between measurements of reportable segments' profits or losses and entity's profit or loss before income tax expense or income and discontinued operations ||| description of the nature of the differences between measurements of the results of segments on the should inform and the result of the entity before spending or income taxes to the gains and operations discontinuadas ||| 3.5 ||| 3.5
explanation of unfulfilled conditions and other contingencies attaching to government assistance ||| explanation of conditions unkept and other contingencies appended to aid the government ||| 4 ||| 4
financial liabilities at fair value through profit or loss , classified as held for trading ||| passive financial value reasonable with changes in results , classified as held to negotiate ||| 3 ||| 4
decrease through classified as held for sale , construction in progress ||| reductions by classify as cared for sale , constructions in process ||| 2.5 ||| 3
copyrights , patents and other industrial property rights , service and operating rights , internally generated , gross ||| rights of intellectual property , patents and other rights of industrial property , service and rights of exploitation , gross ||| 4 ||| 3.5
